,WTeam,LTeam,WLoc
67,Golden State Warriors,New York Knicks,Visitor_Team
68,Toronto Raptors,Dallas Mavericks,Home_Team
69,Los Angeles Clippers,Houston Rockets,Visitor_Team
70,Milwaukee Bucks,Minnesota Timberwolves,Visitor_Team
71,New Orleans Pelicans,Brooklyn Nets,Home_Team
72,Sacramento Kings,Washington Wizards,Home_Team
73,Boston Celtics,Detroit Pistons,Visitor_Team
74,Utah Jazz,New Orleans Pelicans,Visitor_Team
75,Chicago Bulls,Atlanta Hawks,Visitor_Team
76,Indiana Pacers,Cleveland Cavaliers,Visitor_Team
77,Philadelphia 76ers,Charlotte Hornets,Home_Team
78,Memphis Grizzlies,Phoenix Suns,Home_Team
79,Miami Heat,Portland Trail Blazers,Home_Team
80,Milwaukee Bucks,Orlando Magic,Home_Team
81,San Antonio Spurs,Los Angeles Lakers,Home_Team
82,Golden State Warriors,Brooklyn Nets,Visitor_Team
83,Utah Jazz,Dallas Mavericks,Visitor_Team
84,Oklahoma City Thunder,Phoenix Suns,Home_Team
85,Los Angeles Clippers,Washington Wizards,Home_Team
86,Portland Trail Blazers,Indiana Pacers,Visitor_Team
87,Philadelphia 76ers,Atlanta Hawks,Home_Team
88,Sacramento Kings,Miami Heat,Visitor_Team
89,New York Knicks,Brooklyn Nets,Home_Team
90,Golden State Warriors,Chicago Bulls,Visitor_Team
91,Milwaukee Bucks,Toronto Raptors,Home_Team
92,Minnesota Timberwolves,Los Angeles Lakers,Home_Team
93,San Antonio Spurs,Dallas Mavericks,Home_Team
94,Denver Nuggets,New Orleans Pelicans,Home_Team
95,Charlotte Hornets,Miami Heat,Home_Team
96,Cleveland Cavaliers,Atlanta Hawks,Home_Team
97,Sacramento Kings,Orlando Magic,Visitor_Team
98,Boston Celtics,Detroit Pistons,Home_Team
99,Toronto Raptors,Philadelphia 76ers,Home_Team
100,Portland Trail Blazers,Houston Rockets,Visitor_Team
101,Memphis Grizzlies,Washington Wizards,Home_Team
102,Oklahoma City Thunder,Los Angeles Clippers,Home_Team
103,Brooklyn Nets,Detroit Pistons,Home_Team
104,Denver Nuggets,Chicago Bulls,Visitor_Team
105,Minnesota Timberwolves,Utah Jazz,Home_Team
106,Indiana Pacers,New York Knicks,Visitor_Team
107,Golden State Warriors,New Orleans Pelicans,Home_Team
108,Los Angeles Lakers,Dallas Mavericks,Home_Team
109,San Antonio Spurs,Phoenix Suns,Visitor_Team
110,Oklahoma City Thunder,Charlotte Hornets,Visitor_Team
111,Denver Nuggets,Cleveland Cavaliers,Visitor_Team
112,Philadelphia 76ers,Los Angeles Clippers,Home_Team
113,Sacramento Kings,Atlanta Hawks,Visitor_Team
114,Boston Celtics,Milwaukee Bucks,Home_Team
115,Portland Trail Blazers,New Orleans Pelicans,Home_Team
116,Los Angeles Clippers,Orlando Magic,Visitor_Team
117,Houston Rockets,Brooklyn Nets,Visitor_Team
118,Indiana Pacers,Chicago Bulls,Visitor_Team
119,Oklahoma City Thunder,Washington Wizards,Visitor_Team
120,New York Knicks,Dallas Mavericks,Visitor_Team
121,Memphis Grizzlies,Utah Jazz,Visitor_Team
122,Toronto Raptors,Phoenix Suns,Visitor_Team
123,Golden State Warriors,Minnesota Timberwolves,Home_Team
124,Philadelphia 76ers,Detroit Pistons,Home_Team
125,Charlotte Hornets,Cleveland Cavaliers,Home_Team
126,Indiana Pacers,Boston Celtics,Home_Team
127,Atlanta Hawks,Miami Heat,Home_Team
128,Houston Rockets,Chicago Bulls,Visitor_Team
129,San Antonio Spurs,New Orleans Pelicans,Home_Team
130,Denver Nuggets,Utah Jazz,Home_Team
131,Los Angeles Lakers,Portland Trail Blazers,Visitor_Team
132,Milwaukee Bucks,Sacramento Kings,Home_Team
133,Brooklyn Nets,Philadelphia 76ers,Home_Team
134,Washington Wizards,New York Knicks,Home_Team
135,Orlando Magic,San Antonio Spurs,Visitor_Team
136,Phoenix Suns,Memphis Grizzlies,Home_Team
137,Portland Trail Blazers,Minnesota Timberwolves,Home_Team
138,Toronto Raptors,Los Angeles Lakers,Visitor_Team
139,Miami Heat,Detroit Pistons,Visitor_Team
140,Houston Rockets,Indiana Pacers,Visitor_Team
141,Orlando Magic,Cleveland Cavaliers,Home_Team
142,Chicago Bulls,New York Knicks,Visitor_Team
143,Oklahoma City Thunder,New Orleans Pelicans,Home_Team
144,Denver Nuggets,Boston Celtics,Home_Team
145,Toronto Raptors,Utah Jazz,Visitor_Team
146,Golden State Warriors,Memphis Grizzlies,Home_Team
147,Los Angeles Clippers,Minnesota Timberwolves,Home_Team
148,Charlotte Hornets,Atlanta Hawks,Home_Team
149,Dallas Mavericks,Washington Wizards,Home_Team
150,Brooklyn Nets,Phoenix Suns,Visitor_Team
151,Portland Trail Blazers,Milwaukee Bucks,Home_Team
152,Oklahoma City Thunder,Cleveland Cavaliers,Visitor_Team
