,WTeam,LTeam,WLoc
496,Milwaukee Bucks,New York Knicks,Visitor_Team
497,Houston Rockets,Oklahoma City Thunder,Home_Team
498,Boston Celtics,Philadelphia 76ers,Home_Team
499,Los Angeles Lakers,Golden State Warriors,Visitor_Team
500,Utah Jazz,Portland Trail Blazers,Home_Team
501,Detroit Pistons,Washington Wizards,Home_Team
502,Phoenix Suns,Orlando Magic,Visitor_Team
503,Indiana Pacers,Atlanta Hawks,Visitor_Team
504,Brooklyn Nets,Charlotte Hornets,Home_Team
505,Toronto Raptors,Miami Heat,Visitor_Team
506,Minnesota Timberwolves,Chicago Bulls,Visitor_Team
507,Memphis Grizzlies,Cleveland Cavaliers,Home_Team
508,Dallas Mavericks,New Orleans Pelicans,Home_Team
509,San Antonio Spurs,Denver Nuggets,Home_Team
510,Los Angeles Clippers,Sacramento Kings,Home_Team
511,Houston Rockets,Boston Celtics,Home_Team
512,Milwaukee Bucks,New York Knicks,Home_Team
513,Sacramento Kings,Los Angeles Lakers,Home_Team
514,Portland Trail Blazers,Golden State Warriors,Visitor_Team
515,Philadelphia 76ers,Utah Jazz,Visitor_Team
516,Charlotte Hornets,Brooklyn Nets,Home_Team
517,Indiana Pacers,Detroit Pistons,Home_Team
518,Orlando Magic,Toronto Raptors,Home_Team
519,Chicago Bulls,Washington Wizards,Visitor_Team
520,Miami Heat,Cleveland Cavaliers,Home_Team
521,Atlanta Hawks,Minnesota Timberwolves,Visitor_Team
522,New Orleans Pelicans,Dallas Mavericks,Home_Team
523,Denver Nuggets,San Antonio Spurs,Home_Team
524,Oklahoma City Thunder,Phoenix Suns,Visitor_Team
525,Los Angeles Clippers,Los Angeles Lakers,Visitor_Team
526,Milwaukee Bucks,Brooklyn Nets,Home_Team
527,Houston Rockets,New Orleans Pelicans,Visitor_Team
528,Washington Wizards,Charlotte Hornets,Home_Team
529,Atlanta Hawks,Cleveland Cavaliers,Home_Team
530,Boston Celtics,Memphis Grizzlies,Visitor_Team
531,Utah Jazz,New York Knicks,Home_Team
532,Denver Nuggets,Phoenix Suns,Visitor_Team
533,Golden State Warriors,Portland Trail Blazers,Visitor_Team
534,San Antonio Spurs,Los Angeles Clippers,Visitor_Team
535,Orlando Magic,Detroit Pistons,Home_Team
536,Minnesota Timberwolves,Miami Heat,Visitor_Team
537,Toronto Raptors,Chicago Bulls,Home_Team
538,Dallas Mavericks,Oklahoma City Thunder,Home_Team
539,Portland Trail Blazers,Philadelphia 76ers,Home_Team
540,Los Angeles Lakers,Sacramento Kings,Home_Team
541,Indiana Pacers,Atlanta Hawks,Home_Team
542,Charlotte Hornets,Orlando Magic,Home_Team
543,Houston Rockets,Memphis Grizzlies,Home_Team
544,San Antonio Spurs,Boston Celtics,Home_Team
545,New Orleans Pelicans,Minnesota Timberwolves,Home_Team
546,Oklahoma City Thunder,Dallas Mavericks,Home_Team
547,Golden State Warriors,Phoenix Suns,Visitor_Team
548,Toronto Raptors,Utah Jazz,Home_Team
549,Milwaukee Bucks,Detroit Pistons,Home_Team
550,Denver Nuggets,New York Knicks,Home_Team
551,Portland Trail Blazers,Sacramento Kings,Visitor_Team
552,Philadelphia 76ers,Los Angeles Clippers,Visitor_Team
553,Dallas Mavericks,Charlotte Hornets,Visitor_Team
554,Miami Heat,Cleveland Cavaliers,Visitor_Team
555,Washington Wizards,Atlanta Hawks,Home_Team
556,Brooklyn Nets,New Orleans Pelicans,Home_Team
557,Boston Celtics,Minnesota Timberwolves,Home_Team
558,Orlando Magic,Chicago Bulls,Visitor_Team
559,Detroit Pistons,Memphis Grizzlies,Visitor_Team
560,Philadelphia 76ers,Phoenix Suns,Visitor_Team
561,Oklahoma City Thunder,Los Angeles Lakers,Visitor_Team
562,San Antonio Spurs,Toronto Raptors,Home_Team
563,Denver Nuggets,Sacramento Kings,Visitor_Team
564,Houston Rockets,Golden State Warriors,Visitor_Team
565,Utah Jazz,Cleveland Cavaliers,Visitor_Team
566,Boston Celtics,Dallas Mavericks,Home_Team
567,Indiana Pacers,Chicago Bulls,Visitor_Team
568,Brooklyn Nets,Memphis Grizzlies,Visitor_Team
569,Miami Heat,Washington Wizards,Home_Team
570,Minnesota Timberwolves,Orlando Magic,Home_Team
571,Milwaukee Bucks,Atlanta Hawks,Home_Team
572,Los Angeles Clippers,Phoenix Suns,Visitor_Team
573,New York Knicks,Los Angeles Lakers,Visitor_Team
574,Oklahoma City Thunder,Portland Trail Blazers,Visitor_Team
575,Denver Nuggets,Charlotte Hornets,Home_Team
576,Utah Jazz,Detroit Pistons,Visitor_Team
577,Philadelphia 76ers,Dallas Mavericks,Home_Team
578,New Orleans Pelicans,Cleveland Cavaliers,Visitor_Team
579,Toronto Raptors,Milwaukee Bucks,Visitor_Team
580,San Antonio Spurs,Memphis Grizzlies,Home_Team
581,Portland Trail Blazers,Houston Rockets,Home_Team
582,Golden State Warriors,Sacramento Kings,Visitor_Team
583,Brooklyn Nets,Chicago Bulls,Visitor_Team
584,Los Angeles Clippers,Orlando Magic,Home_Team
585,Minnesota Timberwolves,Los Angeles Lakers,Home_Team
586,Atlanta Hawks,Miami Heat,Home_Team
587,Washington Wizards,Oklahoma City Thunder,Visitor_Team
588,Toronto Raptors,Indiana Pacers,Home_Team
589,Charlotte Hornets,Phoenix Suns,Visitor_Team
590,San Antonio Spurs,Detroit Pistons,Visitor_Team
591,Boston Celtics,Brooklyn Nets,Home_Team
592,Houston Rockets,Denver Nuggets,Home_Team
593,Milwaukee Bucks,Utah Jazz,Home_Team
594,New Orleans Pelicans,Memphis Grizzlies,Home_Team
595,Los Angeles Lakers,Dallas Mavericks,Visitor_Team
596,Portland Trail Blazers,New York Knicks,Home_Team
597,Sacramento Kings,Orlando Magic,Home_Team
598,Indiana Pacers,Cleveland Cavaliers,Visitor_Team
599,Philadelphia 76ers,Washington Wizards,Home_Team
600,Denver Nuggets,Miami Heat,Visitor_Team
601,Toronto Raptors,Atlanta Hawks,Home_Team
602,Minnesota Timberwolves,Oklahoma City Thunder,Visitor_Team
603,Phoenix Suns,Sacramento Kings,Home_Team
604,Golden State Warriors,New York Knicks,Home_Team
605,Los Angeles Clippers,Charlotte Hornets,Home_Team
606,Boston Celtics,Indiana Pacers,Home_Team
607,Washington Wizards,Philadelphia 76ers,Home_Team
608,Brooklyn Nets,Atlanta Hawks,Home_Team
609,Milwaukee Bucks,Houston Rockets,Visitor_Team
610,Memphis Grizzlies,San Antonio Spurs,Home_Team
611,New Orleans Pelicans,Cleveland Cavaliers,Home_Team
612,Dallas Mavericks,Phoenix Suns,Home_Team
613,Utah Jazz,Orlando Magic,Home_Team
614,Portland Trail Blazers,Chicago Bulls,Home_Team
615,Los Angeles Lakers,Detroit Pistons,Home_Team
616,Miami Heat,Boston Celtics,Home_Team
617,Denver Nuggets,Los Angeles Clippers,Home_Team
618,San Antonio Spurs,Oklahoma City Thunder,Home_Team
619,Sacramento Kings,Detroit Pistons,Home_Team
620,Atlanta Hawks,Philadelphia 76ers,Visitor_Team
621,Washington Wizards,Milwaukee Bucks,Home_Team
622,Indiana Pacers,New York Knicks,Visitor_Team
623,Toronto Raptors,Brooklyn Nets,Home_Team
624,Houston Rockets,Cleveland Cavaliers,Home_Team
625,Dallas Mavericks,Minnesota Timberwolves,Visitor_Team
626,Portland Trail Blazers,Charlotte Hornets,Home_Team
627,Utah Jazz,Los Angeles Lakers,Home_Team
628,Golden State Warriors,Chicago Bulls,Home_Team
629,Detroit Pistons,Los Angeles Clippers,Visitor_Team
630,Miami Heat,Memphis Grizzlies,Home_Team
631,Orlando Magic,Boston Celtics,Home_Team
632,Minnesota Timberwolves,New Orleans Pelicans,Home_Team
633,Oklahoma City Thunder,San Antonio Spurs,Home_Team
634,Phoenix Suns,Denver Nuggets,Home_Team
635,Sacramento Kings,Charlotte Hornets,Home_Team
636,Utah Jazz,Chicago Bulls,Home_Team
637,Philadelphia 76ers,New York Knicks,Visitor_Team
638,Toronto Raptors,Washington Wizards,Visitor_Team
639,Milwaukee Bucks,Atlanta Hawks,Visitor_Team
640,Orlando Magic,Houston Rockets,Home_Team
641,Golden State Warriors,Dallas Mavericks,Visitor_Team
642,Denver Nuggets,Portland Trail Blazers,Home_Team
643,Cleveland Cavaliers,Los Angeles Lakers,Visitor_Team
644,Brooklyn Nets,Boston Celtics,Home_Team
645,Houston Rockets,Memphis Grizzlies,Home_Team
646,Charlotte Hornets,San Antonio Spurs,Visitor_Team
647,Utah Jazz,Detroit Pistons,Home_Team
648,Sacramento Kings,Portland Trail Blazers,Home_Team
649,New Orleans Pelicans,Los Angeles Clippers,Visitor_Team
650,Indiana Pacers,Phoenix Suns,Home_Team
651,Philadelphia 76ers,Minnesota Timberwolves,Home_Team
652,Atlanta Hawks,Oklahoma City Thunder,Home_Team
653,Milwaukee Bucks,Miami Heat,Home_Team
654,Golden State Warriors,Denver Nuggets,Visitor_Team
655,Los Angeles Lakers,Chicago Bulls,Home_Team
656,Detroit Pistons,Orlando Magic,Home_Team
657,Boston Celtics,Toronto Raptors,Home_Team
658,Brooklyn Nets,Houston Rockets,Visitor_Team
659,Milwaukee Bucks,Memphis Grizzlies,Visitor_Team
660,San Antonio Spurs,Dallas Mavericks,Visitor_Team
661,Portland Trail Blazers,Cleveland Cavaliers,Home_Team
662,Golden State Warriors,New Orleans Pelicans,Home_Team
663,Utah Jazz,Los Angeles Clippers,Visitor_Team
664,Washington Wizards,New York Knicks,Home_Team
665,Charlotte Hornets,Sacramento Kings,Home_Team
666,Philadelphia 76ers,Indiana Pacers,Visitor_Team
667,Toronto Raptors,Phoenix Suns,Home_Team
668,Denver Nuggets,Chicago Bulls,Home_Team
669,Los Angeles Lakers,Oklahoma City Thunder,Visitor_Team
670,Boston Celtics,Memphis Grizzlies,Home_Team
671,Detroit Pistons,Miami Heat,Home_Team
672,Brooklyn Nets,Orlando Magic,Visitor_Team
673,San Antonio Spurs,Minnesota Timberwolves,Visitor_Team
674,Utah Jazz,Cleveland Cavaliers,Home_Team
675,Golden State Warriors,Los Angeles Clippers,Visitor_Team
676,Portland Trail Blazers,New Orleans Pelicans,Home_Team
677,Oklahoma City Thunder,Philadelphia 76ers,Visitor_Team
678,Charlotte Hornets,Phoenix Suns,Home_Team
679,Sacramento Kings,Detroit Pistons,Visitor_Team
680,Indiana Pacers,Dallas Mavericks,Home_Team
681,Milwaukee Bucks,Orlando Magic,Visitor_Team
682,Boston Celtics,Atlanta Hawks,Visitor_Team
683,Toronto Raptors,Memphis Grizzlies,Home_Team
684,Miami Heat,Chicago Bulls,Visitor_Team
685,Houston Rockets,Los Angeles Lakers,Home_Team
686,Denver Nuggets,Cleveland Cavaliers,Home_Team
687,Indiana Pacers,Charlotte Hornets,Home_Team
688,Minnesota Timberwolves,Phoenix Suns,Home_Team
689,Los Angeles Clippers,San Antonio Spurs,Visitor_Team
690,Oklahoma City Thunder,New York Knicks,Visitor_Team
691,Chicago Bulls,Cleveland Cavaliers,Visitor_Team
692,Milwaukee Bucks,Dallas Mavericks,Home_Team
693,Washington Wizards,Detroit Pistons,Home_Team
694,Orlando Magic,Atlanta Hawks,Visitor_Team
695,Brooklyn Nets,Sacramento Kings,Home_Team
696,New Orleans Pelicans,Memphis Grizzlies,Visitor_Team
697,Boston Celtics,Miami Heat,Home_Team
698,Philadelphia 76ers,Houston Rockets,Home_Team
699,Portland Trail Blazers,Utah Jazz,Visitor_Team
700,Golden State Warriors,Los Angeles Lakers,Visitor_Team
701,Toronto Raptors,Sacramento Kings,Home_Team
702,Oklahoma City Thunder,Portland Trail Blazers,Home_Team
703,Dallas Mavericks,Los Angeles Clippers,Home_Team
704,Minnesota Timberwolves,Phoenix Suns,Visitor_Team
705,Indiana Pacers,Toronto Raptors,Home_Team
706,Boston Celtics,Cleveland Cavaliers,Home_Team
707,Brooklyn Nets,Orlando Magic,Home_Team
708,Los Angeles Clippers,Miami Heat,Visitor_Team
709,Houston Rockets,New York Knicks,Visitor_Team
710,Atlanta Hawks,Chicago Bulls,Visitor_Team
711,Charlotte Hornets,Memphis Grizzlies,Visitor_Team
712,Detroit Pistons,New Orleans Pelicans,Visitor_Team
713,Philadelphia 76ers,San Antonio Spurs,Home_Team
714,Utah Jazz,Denver Nuggets,Home_Team
715,Oklahoma City Thunder,New Orleans Pelicans,Home_Team
716,Golden State Warriors,Washington Wizards,Visitor_Team
717,Portland Trail Blazers,Phoenix Suns,Visitor_Team
718,Minnesota Timberwolves,Los Angeles Lakers,Visitor_Team
719,Washington Wizards,Orlando Magic,Visitor_Team
720,Brooklyn Nets,New York Knicks,Home_Team
721,Miami Heat,Cleveland Cavaliers,Visitor_Team
722,Los Angeles Clippers,Chicago Bulls,Visitor_Team
723,Houston Rockets,Toronto Raptors,Home_Team
724,Sacramento Kings,Memphis Grizzlies,Visitor_Team
725,Dallas Mavericks,Detroit Pistons,Home_Team
726,Milwaukee Bucks,Charlotte Hornets,Home_Team
727,Denver Nuggets,Phoenix Suns,Home_Team
728,Utah Jazz,Minnesota Timberwolves,Home_Team
729,San Antonio Spurs,New Orleans Pelicans,Visitor_Team
730,Memphis Grizzlies,Indiana Pacers,Home_Team
731,Golden State Warriors,Boston Celtics,Visitor_Team
732,Denver Nuggets,Philadelphia 76ers,Home_Team
733,Portland Trail Blazers,Atlanta Hawks,Home_Team
734,Cleveland Cavaliers,Chicago Bulls,Visitor_Team
735,Los Angeles Clippers,Sacramento Kings,Home_Team
736,Oklahoma City Thunder,Milwaukee Bucks,Home_Team
737,Toronto Raptors,Dallas Mavericks,Visitor_Team
738,Houston Rockets,Orlando Magic,Home_Team
739,Utah Jazz,Minnesota Timberwolves,Visitor_Team
740,San Antonio Spurs,Washington Wizards,Home_Team
741,Miami Heat,New York Knicks,Visitor_Team
742,Los Angeles Lakers,Phoenix Suns,Home_Team
743,Charlotte Hornets,New York Knicks,Home_Team
744,Golden State Warriors,Indiana Pacers,Visitor_Team
745,Boston Celtics,Brooklyn Nets,Home_Team
746,Denver Nuggets,Memphis Grizzlies,Visitor_Team
747,Atlanta Hawks,Los Angeles Clippers,Visitor_Team
748,Cleveland Cavaliers,Washington Wizards,Home_Team
749,Milwaukee Bucks,Detroit Pistons,Visitor_Team
750,Oklahoma City Thunder,Orlando Magic,Visitor_Team
751,Brooklyn Nets,Chicago Bulls,Home_Team
752,New Orleans Pelicans,Houston Rockets,Visitor_Team
753,San Antonio Spurs,Phoenix Suns,Home_Team
754,Philadelphia 76ers,Los Angeles Lakers,Visitor_Team
755,Boston Celtics,Charlotte Hornets,Home_Team
756,Chicago Bulls,Miami Heat,Visitor_Team
757,Dallas Mavericks,New York Knicks,Visitor_Team
758,Minnesota Timberwolves,Memphis Grizzlies,Home_Team
759,Denver Nuggets,New Orleans Pelicans,Visitor_Team
760,Washington Wizards,Indiana Pacers,Home_Team
761,Sacramento Kings,Atlanta Hawks,Home_Team
762,Portland Trail Blazers,Utah Jazz,Home_Team
763,Detroit Pistons,Dallas Mavericks,Home_Team
764,Orlando Magic,Indiana Pacers,Home_Team
765,Milwaukee Bucks,Toronto Raptors,Visitor_Team
766,San Antonio Spurs,Brooklyn Nets,Home_Team
767,Philadelphia 76ers,Golden State Warriors,Visitor_Team
768,Los Angeles Lakers,Los Angeles Clippers,Visitor_Team
769,Charlotte Hornets,Memphis Grizzlies,Home_Team
770,Boston Celtics,New York Knicks,Visitor_Team
771,Oklahoma City Thunder,Miami Heat,Visitor_Team
772,Utah Jazz,Atlanta Hawks,Home_Team
773,Denver Nuggets,Houston Rockets,Home_Team
774,Los Angeles Clippers,Detroit Pistons,Visitor_Team
775,Charlotte Hornets,Chicago Bulls,Home_Team
776,Orlando Magic,Brooklyn Nets,Home_Team
777,Milwaukee Bucks,Washington Wizards,Visitor_Team
778,Dallas Mavericks,Cleveland Cavaliers,Visitor_Team
779,Indiana Pacers,Miami Heat,Visitor_Team
780,Golden State Warriors,Los Angeles Lakers,Home_Team
781,San Antonio Spurs,New Orleans Pelicans,Home_Team
782,Denver Nuggets,Minnesota Timberwolves,Visitor_Team
783,Atlanta Hawks,Phoenix Suns,Visitor_Team
784,Houston Rockets,Utah Jazz,Visitor_Team
785,Sacramento Kings,Philadelphia 76ers,Home_Team
786,Memphis Grizzlies,New York Knicks,Visitor_Team
787,Boston Celtics,Oklahoma City Thunder,Home_Team
788,Toronto Raptors,Los Angeles Clippers,Home_Team
789,Detroit Pistons,Denver Nuggets,Home_Team
790,Atlanta Hawks,Washington Wizards,Visitor_Team
791,Milwaukee Bucks,Brooklyn Nets,Visitor_Team
792,Indiana Pacers,New Orleans Pelicans,Visitor_Team
793,Houston Rockets,Phoenix Suns,Visitor_Team
794,Sacramento Kings,San Antonio Spurs,Home_Team
795,Los Angeles Clippers,Charlotte Hornets,Visitor_Team
796,Boston Celtics,Cleveland Cavaliers,Visitor_Team
797,Indiana Pacers,Los Angeles Lakers,Home_Team
798,Detroit Pistons,New York Knicks,Visitor_Team
799,Memphis Grizzlies,Minnesota Timberwolves,Home_Team
800,Oklahoma City Thunder,Orlando Magic,Home_Team
801,Toronto Raptors,Philadelphia 76ers,Visitor_Team
802,Miami Heat,Portland Trail Blazers,Visitor_Team
803,Brooklyn Nets,Denver Nuggets,Home_Team
804,New Orleans Pelicans,Chicago Bulls,Visitor_Team
805,Milwaukee Bucks,Washington Wizards,Home_Team
806,Dallas Mavericks,Charlotte Hornets,Home_Team
807,Utah Jazz,Phoenix Suns,Home_Team
808,Houston Rockets,Sacramento Kings,Visitor_Team
809,Golden State Warriors,San Antonio Spurs,Home_Team
810,Indiana Pacers,Los Angeles Clippers,Home_Team
811,Orlando Magic,Minnesota Timberwolves,Home_Team
812,Toronto Raptors,Atlanta Hawks,Visitor_Team
813,Los Angeles Lakers,Boston Celtics,Visitor_Team
814,Oklahoma City Thunder,Memphis Grizzlies,Home_Team
815,Portland Trail Blazers,San Antonio Spurs,Home_Team
816,Detroit Pistons,New York Knicks,Home_Team
817,Philadelphia 76ers,Denver Nuggets,Home_Team
818,Washington Wizards,Cleveland Cavaliers,Home_Team
819,Chicago Bulls,Brooklyn Nets,Visitor_Team
820,Milwaukee Bucks,Dallas Mavericks,Visitor_Team
821,Golden State Warriors,Phoenix Suns,Visitor_Team
822,New Orleans Pelicans,Minnesota Timberwolves,Home_Team
823,Sacramento Kings,Miami Heat,Home_Team
824,Utah Jazz,San Antonio Spurs,Home_Team
825,Indiana Pacers,Cleveland Cavaliers,Home_Team
826,Charlotte Hornets,Atlanta Hawks,Visitor_Team
827,Toronto Raptors,New York Knicks,Visitor_Team
828,Los Angeles Clippers,Boston Celtics,Visitor_Team
829,Washington Wizards,Chicago Bulls,Visitor_Team
830,Memphis Grizzlies,New Orleans Pelicans,Home_Team
831,Oklahoma City Thunder,Houston Rockets,Visitor_Team
832,Orlando Magic,Milwaukee Bucks,Visitor_Team
833,Dallas Mavericks,Portland Trail Blazers,Home_Team
834,Philadelphia 76ers,Los Angeles Lakers,Home_Team
835,Sacramento Kings,Phoenix Suns,Home_Team
836,Orlando Magic,Atlanta Hawks,Visitor_Team
837,Golden State Warriors,Miami Heat,Home_Team
838,Cleveland Cavaliers,New York Knicks,Home_Team
839,Detroit Pistons,Washington Wizards,Home_Team
840,Indiana Pacers,Charlotte Hornets,Home_Team
841,Toronto Raptors,Brooklyn Nets,Home_Team
842,Milwaukee Bucks,Chicago Bulls,Visitor_Team
843,Houston Rockets,Dallas Mavericks,Home_Team
844,Minnesota Timberwolves,Los Angeles Clippers,Home_Team
845,Oklahoma City Thunder,Portland Trail Blazers,Home_Team
846,Denver Nuggets,Miami Heat,Home_Team
847,Atlanta Hawks,Los Angeles Lakers,Home_Team
848,San Antonio Spurs,Memphis Grizzlies,Visitor_Team
849,Orlando Magic,New Orleans Pelicans,Visitor_Team
850,Boston Celtics,Philadelphia 76ers,Visitor_Team
851,Golden State Warriors,Utah Jazz,Home_Team
852,Brooklyn Nets,Cleveland Cavaliers,Visitor_Team
853,Milwaukee Bucks,Indiana Pacers,Visitor_Team
854,Boston Celtics,Detroit Pistons,Home_Team
855,Philadelphia 76ers,New York Knicks,Visitor_Team
856,Toronto Raptors,Washington Wizards,Home_Team
857,Chicago Bulls,Memphis Grizzlies,Home_Team
858,Minnesota Timberwolves,Houston Rockets,Home_Team
859,Miami Heat,Dallas Mavericks,Visitor_Team
860,Denver Nuggets,Sacramento Kings,Home_Team
861,Los Angeles Clippers,Phoenix Suns,Home_Team
862,Portland Trail Blazers,Golden State Warriors,Home_Team
863,Orlando Magic,Charlotte Hornets,Home_Team
864,New York Knicks,Atlanta Hawks,Visitor_Team
865,New Orleans Pelicans,Oklahoma City Thunder,Home_Team
866,Cleveland Cavaliers,Phoenix Suns,Home_Team
867,Philadelphia 76ers,Miami Heat,Home_Team
868,Portland Trail Blazers,Brooklyn Nets,Visitor_Team
869,Milwaukee Bucks,Boston Celtics,Home_Team
870,Golden State Warriors,Sacramento Kings,Home_Team
871,Los Angeles Lakers,Houston Rockets,Home_Team
872,Charlotte Hornets,Washington Wizards,Home_Team
873,Indiana Pacers,New Orleans Pelicans,Home_Team
874,Chicago Bulls,Orlando Magic,Visitor_Team
875,Toronto Raptors,San Antonio Spurs,Home_Team
876,Detroit Pistons,Atlanta Hawks,Visitor_Team
877,Minnesota Timberwolves,New York Knicks,Visitor_Team
878,Los Angeles Clippers,Memphis Grizzlies,Visitor_Team
879,Denver Nuggets,Dallas Mavericks,Visitor_Team
880,Oklahoma City Thunder,Utah Jazz,Home_Team
881,Portland Trail Blazers,Philadelphia 76ers,Visitor_Team
882,Atlanta Hawks,Phoenix Suns,Home_Team
883,Brooklyn Nets,Charlotte Hornets,Visitor_Team
884,Cleveland Cavaliers,Memphis Grizzlies,Home_Team
885,New Orleans Pelicans,Los Angeles Lakers,Home_Team
886,Indiana Pacers,Washington Wizards,Visitor_Team
887,Detroit Pistons,Miami Heat,Visitor_Team
888,Chicago Bulls,Boston Celtics,Home_Team
889,Sacramento Kings,Oklahoma City Thunder,Visitor_Team
890,Houston Rockets,Golden State Warriors,Visitor_Team
891,Milwaukee Bucks,Minnesota Timberwolves,Home_Team
892,Utah Jazz,Dallas Mavericks,Home_Team
893,Orlando Magic,Toronto Raptors,Visitor_Team
894,Denver Nuggets,Los Angeles Clippers,Home_Team
895,New York Knicks,San Antonio Spurs,Home_Team
896,Golden State Warriors,Charlotte Hornets,Visitor_Team
897,Portland Trail Blazers,Cleveland Cavaliers,Visitor_Team
898,Detroit Pistons,Indiana Pacers,Home_Team
899,Brooklyn Nets,San Antonio Spurs,Home_Team
900,Phoenix Suns,Miami Heat,Visitor_Team
901,Milwaukee Bucks,Chicago Bulls,Visitor_Team
902,Houston Rockets,Atlanta Hawks,Home_Team
903,Memphis Grizzlies,Los Angeles Lakers,Home_Team
904,Minnesota Timberwolves,Sacramento Kings,Home_Team
905,Philadelphia 76ers,New Orleans Pelicans,Visitor_Team
906,Los Angeles Clippers,Dallas Mavericks,Home_Team
907,New York Knicks,Orlando Magic,Home_Team
908,Toronto Raptors,Boston Celtics,Home_Team
909,Denver Nuggets,Oklahoma City Thunder,Home_Team
910,Houston Rockets,Charlotte Hornets,Visitor_Team
911,Atlanta Hawks,Minnesota Timberwolves,Home_Team
912,Washington Wizards,Brooklyn Nets,Visitor_Team
913,Miami Heat,Golden State Warriors,Home_Team
914,Portland Trail Blazers,Boston Celtics,Visitor_Team
915,Chicago Bulls,Memphis Grizzlies,Visitor_Team
916,Dallas Mavericks,Indiana Pacers,Home_Team
917,San Antonio Spurs,Detroit Pistons,Home_Team
918,Utah Jazz,Los Angeles Clippers,Home_Team
919,Milwaukee Bucks,Sacramento Kings,Visitor_Team
920,Los Angeles Lakers,New Orleans Pelicans,Home_Team
921,Indiana Pacers,Minnesota Timberwolves,Home_Team
922,Orlando Magic,Golden State Warriors,Home_Team
923,Cleveland Cavaliers,New York Knicks,Visitor_Team
924,Houston Rockets,Miami Heat,Home_Team
925,Philadelphia 76ers,Oklahoma City Thunder,Visitor_Team
926,Utah Jazz,Denver Nuggets,Visitor_Team
927,Chicago Bulls,Atlanta Hawks,Visitor_Team
928,Charlotte Hornets,Brooklyn Nets,Visitor_Team
929,Boston Celtics,Washington Wizards,Home_Team
930,Toronto Raptors,Portland Trail Blazers,Home_Team
931,New Orleans Pelicans,Phoenix Suns,Visitor_Team
932,Los Angeles Clippers,Sacramento Kings,Visitor_Team
933,Milwaukee Bucks,Los Angeles Lakers,Visitor_Team
934,Detroit Pistons,Cleveland Cavaliers,Visitor_Team
935,Orlando Magic,Indiana Pacers,Visitor_Team
936,Miami Heat,Brooklyn Nets,Home_Team
937,Memphis Grizzlies,Dallas Mavericks,Visitor_Team
938,Golden State Warriors,Philadelphia 76ers,Visitor_Team
939,San Antonio Spurs,Oklahoma City Thunder,Home_Team
940,New Orleans Pelicans,Denver Nuggets,Visitor_Team
941,Phoenix Suns,Los Angeles Lakers,Home_Team
942,Utah Jazz,Milwaukee Bucks,Home_Team
943,Portland Trail Blazers,Charlotte Hornets,Visitor_Team
944,Houston Rockets,Boston Celtics,Visitor_Team
945,Atlanta Hawks,Chicago Bulls,Visitor_Team
946,Los Angeles Clippers,New York Knicks,Home_Team
947,Cleveland Cavaliers,Orlando Magic,Home_Team
948,Detroit Pistons,Toronto Raptors,Home_Team
949,Washington Wizards,Minnesota Timberwolves,Home_Team
950,Oklahoma City Thunder,Memphis Grizzlies,Home_Team
951,Brooklyn Nets,Dallas Mavericks,Home_Team
952,Miami Heat,Atlanta Hawks,Home_Team
953,San Antonio Spurs,Denver Nuggets,Home_Team
954,Phoenix Suns,Milwaukee Bucks,Home_Team
955,New Orleans Pelicans,Utah Jazz,Visitor_Team
956,Sacramento Kings,New York Knicks,Home_Team
957,Los Angeles Clippers,Los Angeles Lakers,Visitor_Team
958,Indiana Pacers,Chicago Bulls,Home_Team
959,Philadelphia 76ers,Orlando Magic,Home_Team
960,Memphis Grizzlies,Portland Trail Blazers,Home_Team
961,Minnesota Timberwolves,Oklahoma City Thunder,Home_Team
962,Houston Rockets,Toronto Raptors,Visitor_Team
963,Boston Celtics,Golden State Warriors,Visitor_Team
964,Miami Heat,Charlotte Hornets,Visitor_Team
965,Detroit Pistons,Minnesota Timberwolves,Home_Team
966,Washington Wizards,Dallas Mavericks,Home_Team
967,San Antonio Spurs,Atlanta Hawks,Visitor_Team
968,Brooklyn Nets,Cleveland Cavaliers,Home_Team
969,Chicago Bulls,Philadelphia 76ers,Home_Team
970,Utah Jazz,New Orleans Pelicans,Visitor_Team
971,Phoenix Suns,New York Knicks,Home_Team
972,Boston Celtics,Sacramento Kings,Visitor_Team
973,Denver Nuggets,Los Angeles Lakers,Visitor_Team
974,Milwaukee Bucks,Indiana Pacers,Home_Team
975,Oklahoma City Thunder,Portland Trail Blazers,Visitor_Team
976,Charlotte Hornets,Washington Wizards,Home_Team
977,Orlando Magic,Dallas Mavericks,Home_Team
978,Detroit Pistons,Chicago Bulls,Visitor_Team
979,Houston Rockets,Philadelphia 76ers,Home_Team
980,Memphis Grizzlies,Utah Jazz,Home_Team
981,Miami Heat,Cleveland Cavaliers,Home_Team
982,Toronto Raptors,New Orleans Pelicans,Visitor_Team
983,Golden State Warriors,Denver Nuggets,Home_Team
984,Los Angeles Clippers,Oklahoma City Thunder,Home_Team
985,Sacramento Kings,New York Knicks,Visitor_Team
986,Brooklyn Nets,Atlanta Hawks,Visitor_Team
987,Minnesota Timberwolves,Washington Wizards,Home_Team
988,Boston Celtics,Los Angeles Lakers,Visitor_Team
989,Milwaukee Bucks,Charlotte Hornets,Home_Team
990,Portland Trail Blazers,Phoenix Suns,Home_Team
991,Detroit Pistons,Chicago Bulls,Home_Team
992,Toronto Raptors,Miami Heat,Visitor_Team
